date,adjustedClose,momentum_12m,peso
2009-01-30,1.8763,-0.3119545287862119,0.0
2009-02-02,1.8464,-0.31109618685172746,0.0
2009-02-03,1.9318,-0.2665350444225074,0.0
2009-02-04,1.9299,-0.2799955230562603,0.0
2009-02-05,1.9346,-0.3054249093454924,0.0
2009-02-06,1.9807,-0.26727582124889016,0.0
2009-02-09,1.9623,-0.3140729865771812,0.0
2009-02-10,1.9788,-0.3041215360810241,0.0
2009-02-11,1.9998,-0.3136090612665179,0.0
2009-02-12,2.0021,-0.31270168211465843,0.0
2009-02-13,1.9814,-0.3306307219350698,0.0
2009-02-16,1.9903,-0.3000773667182445,0.0
2009-02-17,1.907,-0.3232549061357748,0.0
2009-02-18,1.9858,-0.3134658599827139,0.0
2009-02-19,1.9695,-0.3185592692547229,0.0
2009-02-20,1.9765,-0.31833074668046224,0.0
2009-02-25,1.9812,-0.31945589447650447,0.0
2009-02-26,1.9728,-0.3282484336692999,0.0
2009-02-27,1.9576,-0.33337873731526246,0.0
2009-03-02,1.7831,-0.40372525414660254,0.0
2009-03-03,1.7667,-0.41693069306930697,0.0
2009-03-04,1.8005,-0.4191748120907126,0.0
2009-03-05,1.8646,-0.3750083797010123,0.0
2009-03-06,1.8926,-0.3753795379537953,0.0
2009-03-09,1.8898,-0.37630363036303627,0.0
2009-03-10,1.9427,-0.35884488448844876,0.0
2009-03-11,1.9462,-0.3155858770572514,0.0
2009-03-12,1.9569,-0.2974185904570422,0.0
2009-03-13,2.0045,-0.2772930487453129,0.0
2009-03-16,1.9579,-0.29997497229075043,0.0
2009-03-17,1.9667,-0.28491437297749345,0.0
2009-03-18,2.0138,-0.279988558761486,0.0
2009-03-19,2.0173,-0.2951925092586123,0.0
2009-03-20,2.0161,-0.2821690521968242,0.0
2009-03-23,2.1089,-0.24412186379928313,0.0
2009-03-24,2.0721,-0.23360579945999937,0.0
2009-03-25,2.0742,-0.23938393839383942,0.0
2009-03-26,2.0926,-0.2549312824894966,0.0
2009-03-27,2.1394,-0.24142821685636273,0.0
2009-03-30,2.0847,-0.25769121207805146,0.0
2009-03-31,2.163,-0.20066518847006654,0.0
2009-04-01,2.1814,-0.19312002959127061,0.0
2009-04-02,2.2096,-0.18618098780892045,0.0
2009-04-03,2.2187,-0.20207868805293827,0.0
2009-04-06,2.2818,-0.17281131049483422,0.0
2009-04-07,2.2119,-0.2091601415853266,0.0
2009-04-08,2.1052,-0.24098644361119126,0.0
2009-04-09,2.2024,-0.1896088604334547,0.0
2009-04-13,2.2257,-0.18340915761667165,1.0
2009-04-14,2.2142,-0.1789223866206845,1.0
2009-04-15,2.2084,-0.1945731062401983,1.0
2009-04-16,2.2282,-0.15735733464432922,1.0
2009-04-17,2.2436,-0.1513730236780393,1.0
2009-04-20,2.193,-0.15993104769201305,1.0
2009-04-22,2.2492,-0.15646564656465645,1.0
2009-04-23,2.2744,-0.12175155423408124,1.0
2009-04-24,2.2727,-0.13325197360893948,0.9432351410594895
2009-04-27,2.2376,-0.11682980738869586,0.9432351410594895
2009-04-28,2.2842,-0.09256316542189735,0.9432351410594895
2009-04-29,2.3058,-0.090737016443866,0.9432351410594895
2009-04-30,2.3065,-0.10849567099567092,0.9432351410594895
2009-05-04,2.3655,-0.08569109461966617,0.8659983611541127
2009-05-05,2.3588,-0.054096322733287905,0.8659983611541127
2009-05-06,2.3308,-0.09910327767470628,0.8659983611541127
2009-05-07,2.3657,-0.10966843551240069,0.8659983611541127
2009-05-08,2.424,-0.10338450157203627,0.7722901473130309
2009-05-11,2.3856,-0.09820821047856654,0.7722901473130309
2009-05-12,2.3308,-0.11738867009996967,0.7722901473130309
2009-05-13,2.3075,-0.11525631685901605,0.7722901473130309
2009-05-14,2.3075,-0.09006664300642764,0.7722901473130309
2009-05-15,2.3187,-0.10778051408342315,0.810784058341341
2009-05-18,2.3891,-0.08969327490950652,0.810784058341341
2009-05-19,2.417,-0.07821974753060534,0.810784058341341
2009-05-20,2.459,-0.07291509576232846,0.810784058341341
2009-05-21,2.4706,-0.06196370263497597,0.810784058341341
2009-05-22,2.4706,-0.053591266040988295,0.8355520076169508
2009-05-25,2.4636,-0.0544254241191372,0.8355520076169508
2009-05-26,2.4932,-0.027575178439096737,0.8355520076169508
2009-05-27,2.5128,-0.028756957328386012,0.8355520076169508
2009-05-28,2.5406,-0.024946269573226876,0.8355520076169508
2009-05-29,2.5196,-0.01501172791243155,0.8777331811873221
2009-06-01,2.5748,0.026102897222332944,0.8777331811873221
2009-06-02,2.5221,0.0247023930443262,0.8777331811873221
2009-06-03,2.4846,0.016196319018404903,0.8777331811873221
